num_cidades,alfa_utilizado,beta_utilizado,resultado_distancia,tempo_segundos
206,0.69,2.9,13187,24.3315
53,0.81,2.8,5885,1.9783
92,1.35,2.31,7746,10.2394
50,0.89,1.56,5989,1.7867
381,1.81,1.88,17126,72.3505
34,0.74,2.39,5195,0.7251
31,1.99,3.87,4839,0.535
20,1.17,1.76,4057,0.3483
317,0.82,4.82,16017,52.5461
73,2.42,1.54,7536,4.462
172,1.12,3.05,11583,48.5633
257,1.84,1.79,13820,36.7287
30,1.95,2.01,4698,1.0271
48,1.44,2.57,6273,1.607
268,1.07,3.44,14080,38.6624
81,1.85,4.79,7904,5.9689
22,0.97,4.12,4178,0.4376
43,0.54,3.83,5712,1.1807
73,2.07,2.04,7635,6.1155
139,1.1,4.36,9634,26.8654
82,1.24,3.78,8129,7.1211
40,0.79,4.53,4846,1.0947
23,0.97,4.07,4124,0.5013
337,0.69,3.06,17326,58.4266
122,2.14,4.22,8836,20.2677
21,1.48,4.71,4076,0.6942
92,0.61,2.82,8557,8.9562
118,1.39,2.9,9276,17.5013
206,1.31,3.98,12215,24.5171
54,1.52,3.64,6217,2.2954
117,2.03,2.11,9992,17.7175
21,2.19,2.43,4292,0.6765
92,0.8,2.68,8696,9.5594
68,2.45,4.75,7082,4.1904
63,1.73,3.4,7648,4.7315
49,0.7,3.02,5995,1.7646
24,2.25,4.49,5210,0.5746
39,2.49,2.57,4793,1.0245
72,0.88,3.54,7988,4.4233
